Unnamed: 0;val_ids;val_gt_size;dumbpredwtags;dumbpredwtags2;dumbprednotags2;m8;dumbpredwtags3;dumbpredwtags4;dumbpredwtags5;dumbpredwtags6;m6;m4;m2;dumbprednotags3;dumbpredselect2
52;Subj_0_0.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[65536,0]
18;Subj_0_1.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
78;Subj_0_10.png;[64430, 1106];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63545.2, 1990.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63766.4, 1769.6000000000001];[63987.6, 1548.3999999999999];[64208.8, 1327.2];[63754, 1782];[63754, 1782]
97;Subj_0_11.png;[64319, 1217];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63345.4, 2190.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63588.8, 1947.2];[63832.2, 1703.8];[64075.6, 1460.3999999999999];[63754, 1782];[63754, 1782]
0;Subj_0_12.png;[64264, 1272];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63246.4, 2289.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63500.8, 2035.2];[63755.2, 1780.8];[64009.6, 1526.3999999999999];[63754, 1782];[63754, 1782]
40;Subj_0_13.png;[64257, 1279];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63233.8, 2302.2000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63489.6, 2046.4];[63745.4, 1790.6];[64001.2, 1534.8];[63754, 1782];[63754, 1782]
39;Subj_0_14.png;[64187, 1349];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63107.8, 2428.2000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63377.6, 2158.4];[63647.4, 1888.6];[63917.2, 1618.8];[63754, 1782];[63754, 1782]
2;Subj_0_15.png;[64096, 1440];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62944.0, 2592.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63232.0, 2304.0];[63520.0, 2015.9999999999998];[63808.0, 1728.0];[63754, 1782];[63754, 1782]
96;Subj_0_16.png;[64080, 1456];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62915.2, 2620.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63206.4, 2329.6];[63497.6, 2038.3999999999999];[63788.8, 1747.2];[63754, 1782];[63754, 1782]
80;Subj_0_17.png;[64111, 1425];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62971.0, 2565.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63256.0, 2280.0];[63541.0, 1994.9999999999998];[63826.0, 1710.0];[63754, 1782];[63754, 1782]
