Unnamed: 0,val_ids,val_diff,val_squared_diff,val_gt_size,val_pred_size,reldiff,reldiffsim,predsizewtags,dumbpredwtags,dumbpredwtags2
649,Case00_0.nii,"[147456.46875, 0.08474384993314743]",44254248.0,"[147456.0, 0.0]","[0.4762861132621765, 0.08474384993314743]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
510,Case00_1.nii,"[147456.5, 0.09824129194021225]",0.0059,"[147456.0, 0.0]","[0.4926365315914154, 0.09824129194021225]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
590,Case00_10.nii,"[147456.46875, 0.10279905050992966]",4652464.0,"[147456.0, 0.0]","[0.46952223777770996, 0.10279905050992966]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
788,Case00_11.nii,"[147456.484375, 0.11546715348958969]",2732310.25,"[147456.0, 0.0]","[0.48769307136535645, 0.11546715348958969]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
66,Case00_12.nii,"[145210.484375, 2245.916015625]",46892080.0,"[145210.0, 2246.0]","[0.47664713859558105, 0.083870530128479]",1.0,1.0,"[147455.91612946987, 0.083870530128479]","[140225, 8000]","[147018.0, 4372.0]"
257,Case00_13.nii,"[144165.484375, 3290.935791015625]",22376790.0,"[144165.0, 3291.0]","[0.47827330231666565, 0.06414925307035446]",1.0,1.0,"[147455.93585074693, 0.06414925307035446]","[140225, 8000]","[147018.0, 4372.0]"
264,Case00_14.nii,"[143457.46875, 3998.939453125]",10762169.0,"[143457.0, 3999.0]","[0.4661664068698883, 0.060548510402441025]",1.0,1.0,"[147455.9394514896, 0.060548510402441025]","[140225, 8000]","[147018.0, 4372.0]"
43,Case00_15.nii,"[141895.484375, 5560.9443359375]",13355187.0,"[141895.0, 5561.0]","[0.4849308133125305, 0.05562997981905937]",1.0,1.0,"[147455.94437002018, 0.05562997981905937]","[140225, 8000]","[147018.0, 4372.0]"
794,Case00_16.nii,"[141660.46875, 5795.90673828125]",19277054.0,"[141660.0, 5796.0]","[0.4682322144508362, 0.09338580816984177]",1.0,1.0,"[147455.90661419183, 0.09338580816984177]","[140225, 8000]","[147018.0, 4372.0]"
568,Case00_17.nii,"[140773.46875, 6682.92236328125]",14526964.0,"[140773.0, 6683.0]","[0.47240662574768066, 0.07776211947202682]",1.0,1.0,"[147455.92223788053, 0.07776211947202682]","[140225, 8000]","[147018.0, 4372.0]"
